"product_id","product_name","category","price"
1,Distributed upward-trending instruction set,Книги,5258.02
2,Persistent hybrid Local Area Network,Книги,3654.69
3,User-friendly high-level monitoring,Книги,1371.52
4,Persevering dedicated leverage,Одежда,5436.53
5,Quality-focused object-oriented frame,Спорт,9712.24
6,Ergonomic composite orchestration,Дом и сад,3257.61
7,Self-enabling modular analyzer,Книги,7357.85
8,Open-source homogeneous analyzer,Книги,4766.5
9,Balanced empowering website,Дом и сад,5038.24
10,Balanced explicit firmware,Электроника,7020.63
11,Triple-buffered well-modulated synergy,Дом и сад,500.89
12,Ameliorated clear-thinking open system,Одежда,5164.93
13,Managed context-sensitive orchestration,Дом и сад,267.99
14,Compatible systematic extranet,Дом и сад,2176.56
15,Re-contextualized web-enabled installation,Электроника,2138.63
16,Intuitive neutral throughput,Электроника,6132.97
17,Synchronized reciprocal open architecture,Одежда,2695.4
18,Cross-group 4thgeneration initiative,Электроника,7923.79
19,Reactive coherent attitude,Дом и сад,3512.17
20,Adaptive solution-oriented moderator,Спорт,2486.75
21,Progressive secondary protocol,Электроника,6002.82
22,Function-based value-added hardware,Электроника,9885.86
23,Sharable motivating access,Одежда,3098.56
24,Pre-emptive client-driven conglomeration,Книги,2223.87
25,Ameliorated explicit functionalities,Одежда,7590.99
26,Robust heuristic policy,Дом и сад,1921.99
27,Balanced logistical functionalities,Электроника,6168.87
28,Total logistical groupware,Книги,4117.23
29,Front-line scalable middleware,Дом и сад,4875.18
30,Synergized didactic application,Электроника,7022.56
31,Horizontal system-worthy task-force,Книги,6079.76
32,Reduced contextually-based hardware,Книги,7873.09
33,Cloned 6thgeneration orchestration,Книги,8754.66
34,Total well-modulated moderator,Дом и сад,8312.63
35,Universal stable projection,Одежда,2963.99
36,Organized intermediate open system,Спорт,5578.81
37,Mandatory coherent hierarchy,Книги,7721.96
38,Centralized bi-directional capability,Электроника,5178.79
39,Function-based hybrid alliance,Спорт,653.14
40,Object-based 6thgeneration data-warehouse,Спорт,570.07
41,Realigned attitude-oriented project,Одежда,9191.25
42,Cross-group attitude-oriented definition,Дом и сад,7200.02
43,Robust stable data-warehouse,Электроника,711.62
44,Polarized systematic ability,Электроника,5709.34
45,Right-sized object-oriented middleware,Книги,2619.15
46,Inverse homogeneous hub,Книги,1231.89
47,Balanced solution-oriented strategy,Дом и сад,4975.1
48,Expanded static forecast,Спорт,3120.57
49,Inverse mission-critical array,Электроника,6035.58
50,Universal optimizing website,Электроника,7401.49
